block_size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,0.796037306735841,-0.3616458368046185,-0.2513471135265331,-0.3934314781141642,-0.3881055336963385,-0.462738126600717,-0.46510669704387003,-0.48504627715728843,-0.5240535759527278,-0.6459015414608898,-0.5928604568542467,-0.5563289868677486,-0.5481892726776314,-0.39997391978627866,-0.5163068825650108,-0.46457999927642857,-0.5329849208349468,-0.5940605141788378,-0.650995000050874,-0.5852338318011525,-0.6821967034085469,-0.18484468490111783
2,0.8108613799935345,-0.06736517598682318,-0.14276243166193764,-0.23264372892358887,-0.27612497138578623,-0.2759742192381378,-0.3119405254849754,-0.36223712084557946,-0.4133389316030037,-0.47886877309885845,-0.42117804582609497,-0.4138546543125721,-0.31733212365642777,-0.29157114982369836,-0.325984985948098,-0.31260017066636425,-0.37630530649078425,-0.44609509972902167,-0.48682818643513226,-0.47225390444251436,-0.0901644457226914,
3,0.811059244355723,0.0179491637902986,-0.09390585508703533,-0.13875506110367627,-0.14218165332016064,-0.18168389079323483,-0.234137303187003,-0.28190839721674743,-0.3420858984553441,-0.3542789645754763,-0.32433302220184645,-0.24531773627803577,-0.20782859292521327,-0.1957981909738481,-0.1843002579913552,-0.1923076280404379,-0.26483303466249625,-0.33670166297775794,-0.3783692151964627,0.019160922845423197,,
4,0.8146103394596449,0.04721051663272042,-0.048848021882033174,-0.06711323105029927,-0.09808729216863354,-0.12628656067649782,-0.1724696172467344,-0.24540820721222228,-0.27073673511401253,-0.26673562338723683,-0.18182272134185695,-0.12882122378027153,-0.14212439845124455,-0.11025479305898958,-0.07494601782519777,-0.10014839890408195,-0.1818026213972578,-0.24822137675848022,0.07450668717041023,,,
5,0.8167184237605363,0.06359599012465271,-0.002468481863921587,-0.04737906361618936,-0.06382607266242776,-0.06375809275347138,-0.15033772390075678,-0.19615198504012615,-0.20890334961447835,-0.14561594614016451,-0.07884460085479705,-0.07650044309028453,-0.05814355652864024,-0.03571999279058221,0.012853380393251464,-0.026713906744231495,-0.1002959569032622,0.13944691162288209,,,,
6,0.8226726949948759,0.0885453628411765,0.03312313889393949,-0.016649963660547266,-0.017817195364750446,-0.04544334602847051,-0.11045930773757519,-0.14607382192884252,-0.10690684141728665,-0.0470889578708487,-0.03174618136539825,-0.006684311951224351,0.01308868083165619,0.02039697699235867,0.10259759675891157,0.034697869096962486,0.24014890662255742,,,,,
7,0.824048692912317,0.12429679310019384,0.059210650793050115,0.03376004310195514,0.0034747332023309417,-0.00827463442853124,-0.06892340192648158,-0.0462677318974393,-0.027534950555185192,0.009319667623340227,0.0314542588665352,0.0600236900530042,0.0671865893318512,0.0785520156143511,0.16569678908610208,0.31393197988684124,,,,,,
8,0.8006182743170485,0.14683682301988243,0.10225041672997405,0.043225366483721224,0.047228739434942164,0.030635311708345624,0.020754769933652162,0.010992403300830775,0.018557570251573098,0.07289608541337142,0.09026361974703881,0.11301599236141914,0.12389388574856143,0.11682558729592542,0.4014574782310352,,,,,,,
9,0.8182871131156639,0.18795898607610317,0.10963532713424003,0.07150492142182337,0.09525123134668252,0.07535357725105661,0.09088986815945545,0.044345421857597794,0.08060538885136448,0.12539034847173058,0.1401870756227221,0.1684803693778652,0.15935761626177622,0.3670118917363892,,,,,,,,
10,0.8089697355564511,0.18712993261391558,0.12753710299255339,0.11163176704704506,0.15857605689958765,0.13879749763396582,0.1213500462551364,0.10538898770527191,0.13408379298850176,0.17808180704413504,0.21151410638769802,0.1994225955057457,0.38751026516072207,,,,,,,,,
11,0.8041063793767985,0.19964030490505683,0.15009891501392947,0.17464280770233825,0.20894823219974,0.1709032535535036,0.16699651989009268,0.13603905879491135,0.18055508337928888,0.2402469211769494,0.25275940499835625,0.4265978021062552,,,,,,,,,,
12,0.8063902097271131,0.22042231917885471,0.210714903483522,0.2189439682674657,0.24180735403306466,0.22558398426743168,0.18992433207903048,0.17417935910468724,0.24201249387852763,0.282009322436342,0.46586448572485084,,,,,,,,,,,
13,0.8326090599972986,0.26650853879434344,0.2590945623188087,0.2479787705300081,0.2852701481295258,0.28427320076491114,0.22134444036916673,0.24825517754226228,0.27944081256796693,0.4814062375452266,,,,,,,,,,,,
14,0.8240145986371924,0.2991466356716882,0.2877676125656329,0.2923973799946164,0.30809838152180663,0.33460291584692087,0.29110857314995187,0.2825116443732171,0.482528793714336,,,,,,,,,,,,,
15,0.8179857902634424,0.3221995385803933,0.33266001488800656,0.30843756077606305,0.3447922768927145,0.3807071637711157,0.32641135879410976,0.4845516397088048,,,,,,,,,,,,,,
