block_size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,1.8864223051903142,-1.2259208085297364,-1.1178535627420798,-1.3665147463438987,-1.3575452726646717,-1.455660626646943,-1.450679255437391,-1.870846374339644,-1.5680972172754204,-1.3433683856229024,-1.606450790761851,-1.5228968252518555,-1.7330159569938448,-1.960116830809251,-1.9822262713233008,-0.3972482870344019
2,1.9335672108731572,-0.5648240804765342,-0.7330621335440408,-0.8801937431969222,-0.9653994626863389,-0.9378259936431997,-1.1431992962603894,-1.279624013684181,-0.979143702930173,-1.0114973996934815,-1.1198023977812954,-1.1259700084051705,-1.3842251288868344,-1.5056831494273029,-0.19993233689188675,
3,1.946248062627797,-0.2992212079829071,-0.47866740771250027,-0.6391322206840011,-0.6481178261813382,-0.70537351086969,-0.8237459424268512,-0.7908342389235417,-0.6820427498065608,-0.7705970949204629,-0.791997124744821,-0.8634300172527548,-1.0290913049163308,-0.00899717867857662,,
4,1.9527610993732314,-0.11842757299576027,-0.3520526874123079,-0.4424009436467747,-0.4509747783436109,-0.44331242342704874,-0.5012897755701493,-0.5320247973786072,-0.465064175476365,-0.5700427005757432,-0.5686306285551752,-0.5876450468383729,0.26528487601204565,,,
5,1.9699127974602022,-0.0703180648513887,-0.22481049395641545,-0.2828036894785196,-0.2506118604158611,-0.2542795690261565,-0.29732928643747913,-0.3240435978475168,-0.24780550227805226,-0.4251910835231324,-0.31949890508789675,0.4295426243600058,,,,
6,1.974311094933307,0.005731438686722443,-0.0858702490074441,-0.12312029331993761,-0.09402687870291192,-0.050424202221358363,-0.12737102112557383,-0.12394179402739605,-0.10481443622003637,-0.31303861204571515,0.6220519792869479,,,,,
7,1.9724363262585363,0.13482045554395855,0.029292043801974744,-0.0006390225961915991,0.0751140868179892,0.1115163362958735,0.046191109235544876,0.018760346695826418,0.028529253721663365,0.6161878721459473,,,,,,
8,1.9496998404178172,0.20780434359087843,0.16018425105964135,0.15710738654382642,0.21103026098341515,0.28886271363977717,0.18315957175506858,0.16613682197633364,0.8055821826564512,,,,,,,
9,1.9475042837000525,0.33036982169195417,0.3054608684486008,0.2694402477299231,0.3795907182075247,0.4299194298441658,0.3388442975643229,0.9086037770785337,,,,,,,,
10,1.9432449920894845,0.42659279257728555,0.3920670828504754,0.43270902417068047,0.51217631218818,0.6149642566767144,1.0257975139627216,,,,,,,,,
11,1.944463913106552,0.5087043180027915,0.5441601765054231,0.5525462790750519,0.6918408998145632,1.2067594511815243,,,,,,,,,,
12,1.944439707182139,0.6214421707551354,0.6556814549549409,0.7252902670881238,1.2383571231697508,,,,,,,,,,,
13,1.939644497298409,0.7069993388383179,0.8312428770013924,1.2687037351365866,,,,,,,,,,,,
14,1.922228990640786,0.8291116360369508,1.3340829253175244,,,,,,,,,,,,,
15,1.9006884414303808,1.2999536635129574,,,,,,,,,,,,,,
